facdomain, facdomain_desc, facdomain_color, facdomain_icon,facdomain_order, facgroup, facgroup_desc,facgroup_order, facsubgrp, facsubgrp_desc,facsubgrp_order
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Historical Sites,"Sites operated by NYC Parks, NYS Office of Parks, Recreation and Historic Preservation, and US National Park Service",,Historical Sites,"Historic house parks, State historic places, national monuments, and national memorials",
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts",,Cemeteries,Cemeteries operated by NYC Parks,
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts",,Gardens,Community gardens,
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts",,Privately Owned Public Space,"Plazas, arcades, and other open space provided for public use by a private office or residential building owner",
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts",,Parks,"Flagship parks, community parks, state parks, and city-state parks",
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts",,Preserves and Conservation Areas,"Nature areas, preserves, wetlands, and state forests",
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts",,Recreation and Waterfront Sites,"Playgrounds, waterfront facilities, and recreation fields and courts",
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves",#4CAF50,pagelines,2,Parks and Plazas,"Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts",,"Streetscapes, Plazas, and Malls","Pedestrian plazas, malls, triangle plazas, and parkways",
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Cultural Institutions,Institutions licensed or funded by the NYC Dept. of Cultural Affairs,,Historical Societies,Historical societies,
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Cultural Institutions,Institutions licensed or funded by the NYC Dept. of Cultural Affairs,,Museums,Publicly and privately operated museums,
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Cultural Institutions,Institutions licensed or funded by the NYC Dept. of Cultural Affairs,,Other Cultural Institutions,"Zoos, botanical gardens, performing arts centers, and multi-disciplinary art centers",
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Libraries,"Libraries operated by New York Public Libraries, Queens Public Libraries, and Brooklyn Public Libraries and academic institutions",,Academic and Special Libraries,Libraries operated by academic institutions or other specialized organizations,
Libraries and Cultural Programs,Public Libraries and Cultural Institutions,#73E5F4,book,3,Libraries,"Libraries operated by New York Public Libraries, Queens Public Libraries, and Brooklyn Public Libraries and academic institutions",,Public Libraries,All public libaries,
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Emergency Services,Services provided by Fire Dept. of New York,,Fire Services,Firehouses,
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Emergency Services,Services provided by Fire Dept. of New York,,Other Emergency Services,Ambulance and Emergency Medical Stations,
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Justice and Corrections,"Courts and correctional facilities operated by NYC. Dept. of Correction, NYS Unified Court System, NYS Dept. of Corrections and Community Supervision, US Courts, and Federal Bureau of Prisons",,Courthouses and Judicial,"Courthouses, clerk offices, and court librarians",
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Justice and Corrections,"Courts and correctional facilities operated by NYC. Dept. of Correction, NYS Unified Court System, NYS Dept. of Corrections and Community Supervision, US Courts, and Federal Bureau of Prisons",,Detention and Correctional,Correctional and dentention centers,
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Public Safety,Services provided by New York Police Dept. and New York Housing Authority Police,,Other Public Safety,Other public safety related support centers,
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Public Safety,Services provided by New York Police Dept. and New York Housing Authority Police,,Police Services,NYPD and NYCHA police stations,
"Public Safety, Emergency Services, and Administration of Justice","Police services, emergency response, courthouses, and correctional facilities",#2979FF,ambulance,4,Public Safety,Services provided by New York Police Dept. and New York Housing Authority Police,,School-Based Safety Program,Public safety program on a school campus,
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",,Chemical Dependency,"Monitored support, inpatient, outpatient, and crisis services",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",,Health Promotion and Disease Prevention,Programs focused on improving health through education and disease prevention,
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",,Hospitals and Clinics,"Urgent care hospitals, diagnostic and treatment centers, and school-based health facilities",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",,Mental Health,"Inpatient, outpatient, and emergency mental health services",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",,Other Health Care,"Rehab, respite servies, vaccination services, AIDS counseling, and home health centers",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Health Care,"Health facilities overseen by NYC Health and Hospitals Corporation, NYC Health and Human Services, NYS Dept. of Health, NYS Office of Mental Health, and NYS Office of Alcoholism and Substance Abuse Services",,Residential Health Care,"Nursing homes, hospice care, and supportive housing",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Community Centers and Community School Programs,Community centers that provide multiple social services at one site,
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Financial Assistance and Social Services,"SNAP, Child Support, and Medicaid Centers operated by NYC Human Resources Administration",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Legal and Intervention Services,"Early intervention, criminal defense, and mediation services",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Non-residential Housing and Homeless Services,Non-residential homelessness prevention services,
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Programs for People with Disabilities,"Specialized child care, caregiver support, and recreational services",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Senior Services,"Neighborhood senior centers, meal delivery programs, and other services for seniors",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Shelters and Transitional Housing,"NOTE: These records will be incorporated soon, once the data is finished being assembled for inclusion in the database.",
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Soup Kitchens and Food Pantries,Soup kitchens and food pantries,
Health and Human Services,"Health and social service providers, including hospitals, legal services, and homeless shelters",#BA68C8,heart,5,Human Services,"Services overseen by NYC Dept. of Homeless Services, NYC Dept. of Human Resources, NYC Mayorality, and others",,Workforce Development,Workforce 1 Centers and other vocational services for adults,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Material Supplies and Markets,Sites operated or overseen by Dept. of Information Technology and Telecommunications and other City telecommunications services,,Material Supplies,Asphalt plants and other material processing facilities,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Material Supplies and Markets,Sites operated or overseen by Dept. of Information Technology and Telecommunications and other City telecommunications services,,Wholesale Markets,Wholesale food and commercial markets,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Solid Waste,"Sites overseen and operated by NYC Dept. of Sanitation, NYC Business Integrity Commission, and NYS Dept. of Conservation",,Solid Waste Processing,"Material recovery, composting, landfill gas recovery, and scrap metal processing facilities",
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Solid Waste,"Sites overseen and operated by NYC Dept. of Sanitation, NYC Business Integrity Commission, and NYS Dept. of Conservation",,Solid Waste Transfer and Carting,Waste carter sites and transfer stations,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Telecommunications,Sites operated or overseen by Dept. of Information Technology and Telecommunications and other City telecommunications services,,Telecommunications,Antennas and other telecommunications sites,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",,Airports and Heliports,"Publicly and privately operated airports, heliports, and seaplane bases",
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",,Bus Depots and Terminals,"School bus depots, MTA bus depots, and Port Authority bus terminals",
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",,Other Transportation,Uncategorized transportation related sites,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",,Parking Lots and Garages,Publicly and commerially operated parking lots and garages,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",,Ports and Ferry Landings,"Ferry landings, cruise terminals, and ports",
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Transportation,"Sites operated or overseen by Metropolitan Transportation Authority, Port Authority of NY and NJ, NYC Dept. of Transportation, NYC Dept. of Consumer Affairs, US Dept. of Transportation, and others",,Rail Yards and Maintenance,Rail yards and maintenance facilities,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Water and Wastewater,Sites overseen and operated by NYC Dept. of Environmental Protection,,Wastewater and Pollution Control,Wastewater treatment plants and other sites related to wastewater conveyance and pollution control,
Core Infrastructure and Transportation,"Train and bus yards, parking lots, solid waste processors, and wastewater treatment plants",#8D8EAA,bus,6,Water and Wastewater,Sites overseen and operated by NYC Dept. of Environmental Protection,,Water Supply,Sites related to water supply,
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"City Agency Parking, Maintenance, and Storage",City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services,,City Agency Parking,City agency parking lots,
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"City Agency Parking, Maintenance, and Storage",City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services,,Custodial,City agency custodial sites,
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"City Agency Parking, Maintenance, and Storage",City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services,,Maintenance and Garages,City agency vehicle maintenance sites,
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"City Agency Parking, Maintenance, and Storage",City owned or leased properites used for City vehicle and equipment-related operations by Dept. of Citywide Administrative Services,,Storage,City agency storage sites,
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"Offices, Training, and Testing",All City owned or leased offices overseen by Dept. of Citywide Administrative Services,,Offices,Offices used by City agencies,
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD6,bar-chart,7,"Offices, Training, and Testing",All City owned or leased offices overseen by Dept. of Citywide Administrative Services,,Training and Testing,Training and testing sites used by City agencies,
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD7,bar-chart,7,Other Property,City owned or leased property without a categorized use overseen by Dept. of Citywide Administrative Services,,Miscellaneous Use,Property without a categorized use,
Administration of Government,"Sites owned or leased by the City for administration, operations, and maintenance",#CBCBD8,bar-chart,7,Other Property,City owned or leased property without a categorized use overseen by Dept. of Citywide Administrative Services,,Properties Leased or Licensed to Non-public Entities,Properties Leased or Licensed to Non-public Entities,
