using_01,pgtable,datasource,datasourcefull,dataname,confidence,notes,uniqueid,datatype,refreshmeans,refreshfrequency,datadate,dataurl,datadownload,overtype,docsnotes
1,dcas_facilities_colp,NYCDCAS,NYC Department of Citywide Administrative Services,City Owned and Leased Properties,4,Likely incomplete or out of date,N,CSV with Addresses,Pull from NYC Open Data,Biennially,10/20/16,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc-colp-shp-2016.zip?r=1,Overseen,
1,dca_facilities_operatingbusinesses,NYCDCA,NYC Department of Consumer Affairs,Legally Operating Businesses,5,Geocoding entire dataset. All IDs are unique.,Y,CSV with Addresses,Pull from NYC Open Data,Weekly,5/5/17,https://data.cityofnewyork.us/Business/Legally-Operating-Businesses/w7w3-xahh,https://data.cityofnewyork.us/api/views/w7w3-xahh/rows.csv?accessType=DOWNLOAD,Licensed,
1,nycdoc_facilities_corrections,NYCDOC,NYC Department of Correction,Correction Facilities Locations,5,Unlikely to change very often,N,Addresses and Details Copied from Website,Confirm on agency's website,Annually,2016-07-01,http://www1.nyc.gov/site/doc/about/facilities-locations.page,,Owned and operated,
1,dcla_facilities_culturalinstitutions,NYCDCLA,NYC Department of Cultural Affairs,DCLA Cultural Organizations,2,Lots of PO boxes. Many organizations at same address. Including operator name make unique ID,N,CSV with Addresses,Pull from NYC Open Data,Annually,4/7/17,https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,https://data.cityofnewyork.us/api/views/u35m-9t32/rows.csv?accessType=DOWNLOAD,Licensed,
1,doe_facilities_schoolsbluebook,NYCDOE,NYC Department of Education,2015-2016 Blue Book,4,Numbers are a year old and only updated once per year. Missing some addresses,Y,CSV with Coordinates,Request file from agency,Annually,2016-11-01,https://dnnhh5cc1.blob.core.windows.net/portals/0/Capital_Plan/Utilization_Reports/Blue%20Book%202015-2016.pdf?sr=b&si=DNNFileManagerPolicy&sig=AExrFIUz%2BQDwk%2FlptyHq0ZkW2Ur9J69SJuy4MgQ%2BAp4%3D,,Operated,
1,doe_facilities_universalprek,NYCDOE,NYC Department of Education,Universal Pre-K (UPK) School Locations,5,,Y,CSV with Coordinates,Pull from NYC Open Data,Monthly,1/15/16,https://data.cityofnewyork.us/Education/Universal-Pre-K-UPK-School-Locations/kiyv-ks3f,https://data.cityofnewyork.us/api/views/kiyv-ks3f/rows.csv?accessType=DOWNLOAD,Registered,
1,doe_facilities_busroutesgarages,NYCDOE,NYC Department of Education,Routes,5,Currently has duplicate records by ID that can be avoided,N,CSV with Coordinates,Pull from NYC Open Data,Monthly,5/1/17,https://data.cityofnewyork.us/Transportation/Routes/8yac-vygm,https://data.cityofnewyork.us/api/views/8yac-vygm/rows.csv?accessType=DOWNLOAD,Contracted,
1,nycdep_facilities_sfpsd,NYCDEP,NYC Department of Environmental Protection,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,dohmh_facilities_daycare,NYCDOHMH,NYC Department of Health and Mental Hygiene,DOHMH Childcare Center Inspections,5,Program locations. All IDs are unique,Y,CSV with Addresses,Pull from NYC Open Data,Daily,5/12/17,https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,https://data.cityofnewyork.us/api/views/dsg6-ifza/rows.csv?accessType=DOWNLOAD,Inspected,
0,dhs_facilities_shelters,NYCDHS,NYC Department of Homeless Services,DHS CARES Building Listing,5,,Y,CSV with Coordinates,Request file from agency,Monthly,2017-03-21,,,Operated or contracted,
1,dpr_parksproperties,NYCDPR,NYC Department of Parks and Recreation,Parks Properties,5,,Y,Shapefile,Pull from NYC Open Data,Monthly,8/27/16,https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,https://data.cityofnewyork.us/api/geospatial/rjaj-zgq7?method=export&format=Shapefile,Owned and operated,
1,dsny_facilities_mtsgaragemaintenance,NYCDSNY,NYC Department of Sanitation,DSNY_select_facs_07262916,5,,N,Shapefile,Request file from agency,Annually,2016-07-26,,,Owned and operated,
1,sbs_facilities_workforce1,NYCSBS,NYC Department of Small Business Services,Center & Service Locations,5,,N,CSV with Coordinates,Request file from agency,Annually,2017-05-16,https://data.cityofnewyork.us/dataset/Center-Service-Locations/6smc-7mk6,https://data.cityofnewyork.us/api/views/6smc-7mk6/rows.csv?accessType=DOWNLOAD,Operated or contracted,
1,dot_facilities_ferryterminalslandings,NYCDOT,NYC Department of Transportation,Facilities Data - Ferry Terminals and Landings,5,Not well labeled,N,Shapefile,Request file from agency,Annually,2017-02-23,,,Permitted,
1,dot_facilities_pedplazas,NYCDOT,NYC Department of Transportation,Plaza Program,5,,N,Shapefile,Request file from agency,Annually,2017-02-24,,,Owned and operated,
1,dot_facilities_parkingfacilities,NYCDOT,NYC Department of Transportation,Facilities Data - Parking Facilities,5,Not well labeled,N,Shapefile,Request file from agency,Annually,2017-02-23,,,Owned and operated,
1,dot_facilities_bridgehouses,NYCDOT,NYC Department of Transportation,Facilities Data - Bridge Houses,5,Not well labeled,N,Shapefile,Request file from agency,Annually,2017-02-23,,,Owned and operated,
1,dot_facilities_mannedfacilities,NYCDOT,NYC Department of Transportation,Facilities Data - Manned Facilities,5,Not well labeled,N,Shapefile,Request file from agency,Annually,2017-02-23,,,Owned and operated,
0,dot_facilities_publicparking,NYCDOT,NYC Department of Transportation,Municipal Parking Facilities,5,Unlikely to change very often,N,Addresses and Details Copied from Website,Confirm on agency's website,Annually,2016-07-01,http://www.nyc.gov/html/dot/html/motorist/parkinglist.shtml,,Owned and operated,
1,dycd_facilities_otherprograms,NYCDYCD,NYC Department of Youth and Community Development,DYCD Other Program Locations,5,,Y,CSV with Addresses,Request file from agency,Monthly,2016-12-19,,,Contracted and funded,
1,dycd_facilities_compass,NYCDYCD,NYC Department of Youth and Community Development,COMPASS Program Locations,5,,N,CSV with Addresses,Request file from agency,Monthly,2016-12-19,,,Contracted and funded,
1,hhs_facilities_proposals,NYCHHS,NYC HHS Accelerator,HHS Accelerator - Selected Proposals,5,Service location. Likely misclassifications in processing,Y,CSV with Coordinates,Request file from agency,Annually,2016-07-26,,,Contracted and funded,
1,hhs_facilities_financialscontracts,NYCHHS,NYC HHS Accelerator,HHS Accelerator - Financials Contracts,5,Service location. Likely misclassifications in processing,Y,CSV with Coordinates,Request file from agency,Annually,2016-07-26,,,Contracted and funded,
1,hhs_facilities_fmscontracts,NYCHHS,NYC HHS Accelerator,Financial Management System - Human Services Contracts,2,Likely not program locations. Use agency address if <> admin address. Likely misclassifications in processing,Y,CSV with Coordinates,Request file from agency,Annually,2016-07-26,,,Contracted and funded,
0,hhc_facilities_hospitals,NYCHHC,NYC Health and Hospitals Corporation,Health and Hospitals Corporation (HHC) Facilities,4.5,"Unlikely to change very often. Adding facilitytype, facilityname makes it unique",N,CSV with Coordinates,Pull from NYC Open Data,Annually,9/5/14,https://data.cityofnewyork.us/Health/Health-and-Hospitals-Corporation-HHC-Facilities/f7b6-v6v3,https://data.cityofnewyork.us/api/views/f7b6-v6v3/rows.csv?accessType=DOWNLOAD,Owned and operated,
1,hra_facilities_centers,NYCHRA/DSS,NYC Human Resources Administration/Department of Social Services,HRA Locations,5,,N,CSV with Addresses,Confirm on agency's website,Quarterly,2017-02-27,https://www1.nyc.gov/site/hra/locations/locations.page,,Owned and operated,
1,omb_facilities_libraryvisits,NYCOMB,NYC Mayors Office of Management and Budget,District Resource Statement,3,Has to be scraped/requested then geocoded. Contains duplicate records,N,CSV with Coordinates,Request file from agency,Annually,2016-06-30,,,Owned and operated,
1,nysdoccs_facilities_corrections,NYSDOCCS,NYS Department of Correction and Community Supervision,Facility Listing,5,Unlikely to change very often,N,Addresses and Details Copied from Website,Confirm on agency's website,Annually,2016-07-01,http://www.doccs.ny.gov/faclist.html,,Owned and operated,
1,nysdec_facilities_solidwaste,NYSDEC,NYS Department of Evironmental Conservation,Solid Waste Management Facilities,4,Adding facility ID makes record unique,N,CSV with Coordinates,Pull from NYState Open Data,Annually,1/9/17,https://data.ny.gov/Energy-Environment/Solid-Waste-Magement-Facilities/2fni-raj8,https://data.ny.gov/api/views/2fni-raj8/rows.csv?accessType=DOWNLOAD,Licensed,
1,nysdec_facilities_lands,NYSDEC,NYS Department of Evironmental Conservation,"Lands - Under the Care, Custody, and Control of DEC",5,,Y,Shapefile,Pull from NYState GIS Clearinghouse,Annually,4/1/17,http://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1114,http://gis.ny.gov/gisdata/data/ds_1114/DEC_lands.zip,Owned and operated,
1,nysdoh_nursinghomebedcensus,NYSDOH,NYS Department of Health,Nursing Home Weekly Bed Census: Last Submission,,,Y,CSV with Coordinates,Pull from NYState Open Data,Weekly,2017-03-13,https://health.data.ny.gov/Health/Nursing-Home-Weekly-Bed-Census-Last-Submission/izta-vnpq/data,https://health.data.ny.gov/api/views/izta-vnpq/rows.csv?accessType=DOWNLOAD,Licensed,
1,nysdoh_facilities_healthfacilities,NYSDOH,NYS Department of Health,Health Facility General Information,5,Joining on residential capacity was creating duplicate records. Check if fixed,Y,CSV with Coordinates,Pull from NYState Open Data,Weekly,5/11/17,https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,https://health.data.ny.gov/api/views/vn5v-hh5r/rows.csv?accessType=DOWNLOAD,Licensed,
1,nysdot_facilities_sfpsd,NYSDOT,NYS Department of Transportation,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,nysed_nonpublicenrollment,NYSED,NYS Education Department,2016-2017 Nonpublic Enrollment by Grade,,,Y,CSV with Unique ID,Manual download,Annually,2017-05-05,http://www.p12.nysed.gov/irs/statistics/nonpublic/,"",Registered,
1,nysed_facilities_activeinstitutions,NYSED,NYS Education Department,Listings - Active Institutions with GIS coordinates and OITS Accuracy Code,4,"Secondhand info on museums, feeding sites, etc",Y,CSV with Coordinates,Manual download,Weekly,2017-01-23,https://portal.nysed.gov/discoverer/app/grid;jsessionid=eikT4MZCXS4gnCu4gkga8RxAT-LFQX1XhLGyOQErv16YJWGj_jo8!-214928944?bi_origin=dvtb&bi_cPath=dvtb&numberLocale=en_US&source=dvtb&gotoNthPage=1&bi_tool=rt&event=bi_showTool&bi_rowvdv=s25&stateStr=eNrtVlFzmzgQ%2FjPY0xtPMiBjJ3nwg4vdlGmKe8ZpmnthZEkYJRgIksHOr79Fog71JO1Q957OL9rVov202tWKz2DbLDa65VKOUDdJKRuhq67IRt08TeXI7LKCJXIEi3BCu0JiyUbvhoO%2FDJwZHTSkYac%2FASm0SIiWNyFmyTV5pBEqNbEDkSBe2S5HFEwgBbJjLKRxFJgLNXtAioAAWcnmIRbDvIskxw9RnNWdi5mCJzFuNMKQu8jJnSPqS5knOWpbkU5066SeROmSZMEADDaQkoIY4Fa0JftIYeU1gthLLd8IShJtxl%240g5xImG4Ro8t%24u4CTaowCLGpHKwzmfuwlfqtavlmBAlHSha03HYOoov0U5wgmMNe3BCqyqvqAos880PG%2FUPIrzmtVearLjcUL1ZB11%2466CrpqP9liOWP%2FjdH%2FhZrU%2Fm0%2FjVHKHfRqov1B7pqj1S1UQNiPa3xk1ElSjJ00TZ%2Fc1Se%24wy9lqQV8d0UJ06KUQgqgMff7uU8jmlPOSM6nhVRpw4giFJ8zUsRs73bsX50yu9ax6dNZc269ga7oat6jN5eN2M7DfuVp2Gg1vab5%2FqNNvEOH8tKrv9U0ckL1ijPvs7YB5%2Fn96o9VMW%24CxmRL8MdaFq5%2F5kANM%24DsPwUine9E59v5%2FNP0mw6s%2Fv5zPv28v0k%24td%249V0qKZ%2F306nnpprjLnrfPw88yaykarB0Vdr34gHFUX%2FYffsNxn%24ufAP3hHUvvD%2F8IzQQQPj4s%24%2FdodJRkdv8SVKk%2FovBEO%2FCd4%2FGvw2r%2F7zlIqC5QBmad4Tadpj0wKG7eOZtY57sECA13NpnZtl73G3pUVviZ9LmBABVnRZ7rYZ6RWglw%2477QMtgE3YZVFhAXEyNbRc%2FgRSfd9tl1zEshIkSis8Bbc3rtR4ZnMqo548s55L2zSrJUseMb6K5IHxOseUA2%2Fskeh7aBrkQW%24n4hJrEFWIGc7xWrwk4EQBTxTwRAFPFPBEAU8U8EQBTxTwf0EBY6LpTwlPkl33gv1CC1eKFyrTT%24ncr9ncg1piZDmnxo3rL6rmCIKxs3C%2FTgPXA8PiduHOPD%244cxcfA6AagTObzSeuN15M%2FWDsTYKKh4CHczsfO%2FfwdTLtoA%24WQeQuMwrOSpb%2FCyl4PR4%3D,,Certified,
1,nysopwdd_facilities_providers,NYSOPWDD,NYS Office for People With Developmental Disabilities,Directory of Developmental Disabilities Service Provider Agencies,1,Appears to be administrative addresses,N,CSV with Coordinates,Pull from NYState Open Data,Annually,12/22/15,https://data.ny.gov/Human-Services/Directory-of-Developmental-Disabilities-Service-Pr/ieqx-cqyk,https://data.ny.gov/api/views/ieqx-cqyk/rows.csv?accessType=DOWNLOAD,Registered,
1,nysoasas_facilities_programs,NYSOASAS,NYS Office of Alcoholism and Substance Abuse Services,NYS OASAS-Certified Chemical Dependence Treatment Programs Located in NYC,5,OASAS records are updated more frequently than may be reflected in this database. Users are encouraged to confirm program locations on the OASAS website (link above).,Y,CSV with Addresses,Receive scheduled email transfer from agency,Monthly,2017-05-08,https://www.oasas.ny.gov/providerDirectory/index.cfm?search_type=2,,Certified,OASAS records are updated more frequently than may be reflected in this database. Users are encouraged to confirm program locations on the OASAS website (link above).
1,nysocfs_facilities_facilities,NYSOCFS,NYS Office of Children and Family Services,Facilities,5,Unlikely to change very often,N,Addresses and Details Copied from Website,Confirm on agency's website,Annually,2016-07-01,http://ocfs.ny.gov/main/rehab/regiolListing1.asp,,Owned and operated,
1,nysomh_facilities_mentalhealth,NYSOMH,NYS Office of Mental Health,Local Mental Health Programs,4,Check if duplicates are resolved. Many records don't have addresses,Y,CSV with Coordinates,Pull from NYState Open Data,Annually,5/5/17,https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,https://data.ny.gov/api/views/6nvr-tbv8/rows.csv?accessType=DOWNLOAD,Licensed or funded,
1,nysparks_facilities_parks,NYSOPRHP,"NYS Office of Parks, Recreation and Historic Preservation",State Park Facility Points,5,,N,CSV with Coordinates,Pull from NYState Open Data,Annually,2/4/16,https://data.ny.gov/Recreation/State-Park-Facility-Points/9uuk-x7vh,https://data.ny.gov/api/views/9uuk-x7vh/rows.csv?accessType=DOWNLOAD,Owned and operated,
1,nysparks_facilities_historicplaces,NYSOPRHP,"NYS Office of Parks, Recreation and Historic Preservation",National Register of Historic Places,5,Source data conatins duplicate records. Need to consolidate,Y,CSV with Coordinates,Pull from NYState Open Data,Annually,12/18/15,https://data.ny.gov/Recreation/tiol-Register-of-Historic-Places/iisn-hnyv,https://data.ny.gov/api/views/y36f-mkpp/rows.csv?accessType=DOWNLOAD,Owned and operated,
1,nycourts_facilities_courts,NYCOURTS,NYS Unified Court System,The Courts,5,Unlikely to change very often,N,Addresses and Details Copied from Website,Confirm on agency's website,Annually,2016-07-01,http://www.nycourts.gov/courts/index.shtml,,Owned and operated,
1,usnps_facilities_parks,USNPS,National Park Service,Administrative Boundaries of National Park System Units,5,Provides version history,Y,Shapefile,Pull from USNPS,Annually,3/31/17,https://irma.nps.gov/DataStore/Reference/Profile/2225713,https://irma.nps.gov/DataStore/DownloadFile/570816,Owned and operated,
0,nycha_facilities_communitycenters,NYCHA,New York City Housing Authority,NYCHA Facilities and Service Centers,5,,N,CSV with Addresses,Pull from NYC Open Data,Annually,9/15/16,https://data.cityofnewyork.us/Housing-Development/NYCHA-Facilities-and-Service-Centers/d4iy-9uh7/data,https://data.cityofnewyork.us/api/views/d4iy-9uh7/rows.csv?accessType=DOWNLOAD,Owned and operated,
1,nycha_facilities_policeservice,NYCHA,New York City Housing Authority,NYCHA PSA (Police Service Areas),2,"Likely doesn't change, but old. NYCHA police are also in COLP",N,Shapefile,Pull from NYC Open Data,Annually,9/15/16,https://data.cityofnewyork.us/Housing-Development/NYCHA-PSA-Police-Service-Areas-/72wx-vdjr,https://data.cityofnewyork.us/api/geospatial/72wx-vdjr?method=export&format=Shapefile,Owned and operated,
1,panynj_facilities_sfpsd,PANYNJ,Port Authority of New York and New Jersey,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,rioc_facilities_sfpsd,RIOC,Roosevelt Island Operating Corporation,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often. No polygons,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,tgi_facilities_sfpsd,TGI,Trust for Governors Island,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often. No polygons,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,uscourts_facilities_courts,USCOURTS,US Courts,Court Locator Results,5,Unlikely to change very often,N,Addresses and Details Copied from Website,Confirm on agency's website,Annually,2016-07-01,http://www.uscourts.gov/court-locator/city/New%20York/state/NY,,Owned and operated,
1,usdot_facilities_ports,USDOT,US Department of Transportation,U.S. Army Corps of Engineers Ports,4,Secondhand data. Operator/ownership isn't totally reliable,Y,Shapefile,Pull from US DOT,Annually,8/1/15,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_atlas_database/2015/point,http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/AdditionalAttachmentFiles/ports.zip,Licensed,
1,usdot_facilities_airports,USDOT,US Department of Transportation,Airports,4,Secondhand data. Operator/ownership isn't totally reliable,Y,Shapefile,Pull from US DOT,Annually,8/1/15,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_atlas_database/2015/point,http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/AdditionalAttachmentFiles/airports.zip,Licensed,
